daterange_wiki,title_wiki,year_wiki,source_wiki,link_wiki,developer_wiki,publisher_wiki,releasedate_wiki,genre_wiki,engine_wiki,director_wiki,artist_wiki,composer_wiki,platform_wiki,designer_wiki,writer_wiki,programmer_wiki,mode_wiki,summary_wiki,background_wiki
1-7 November 2019,Costume Quest,2019,https://www.igromania.ru/news/87726/V_Epic_Games_Store_besplatno_otdayut_Costume_Quest_i_SOMA.html,https://en.wikipedia.org/wiki/Costume_Quest,Double Fine Productions,,"October 20, 2010, PlayStation 3, Xbox 360October 20, 2010WindowsOctober 14, 2011OS X, LinuxMay 8, 2013iOSOctober 10, 2013AndroidMarch 17, 2015",Role-playing,,Tasha Harris,,Peter McConnell,,,,,Single-player,"Costume Quest is a party-based role-playing video game developed by Double Fine Productions and published by THQ on October 20, 2010. In the game, the player controls a child who is trick-or-treating with their twin on Halloween night when they encounter a monster that kidnaps their sibling. The player must travel around the local neighborhood collecting items for their costume, candy, and fellow children as companions in order to face the leader of the monsters and rescue their sibling. The costume aspects are used in turn-based battle segments, where the player character and companions are transformed into whatever they are dressed as to fight other monsters; the costume aspects are also used for abilities outside of battles.","A DLC expansion titled ""Grubbins on Ice"", was released on December 21, 2010, taking place after the events of the original game and set in the monster world of Repugia. A sequel, Costume Quest 2, was released in 2014."
7-14 November 2019,Nuclear Throne,2019,https://www.igromania.ru/news/87926/V_Epic_Games_Store_besplatno_razdayut_Nuclear_Throne_i_RUINER.html,https://en.wikipedia.org/wiki/Nuclear_Throne,Vlambeer,Vlambeer,"Linux, Windows, OS X, PS4, VitaDecember 5, 2015SwitchMarch 25, 2019Xbox OneSeptember 9, 2021",,GameMaker: Studio,Jan Willem Nijman,,Jukio Kallio,,,,Rami Ismail,,"Nuclear Throne is a bullet hell roguelike video game developed by Vlambeer. Set in a post-apocalypse, players are tasked with killing enemies by using various weapons and characters' special abilities to progress through levels and eventually reach the titular Nuclear Throne. The game is widely known for its steep difficulty curve and fast-paced gameplay. Early prototypes of the game were distributed through Steam's early access program in 2013. Nuclear Throne was released for Linux, Microsoft Windows, OS X, PlayStation 4, and PlayStation Vita in December 2015, for Nintendo Switch in March 2019, and for Xbox One in September 2021.",
14-21 November 2019,The Messenger,2019,https://www.igromania.ru/news/88121/V_Epic_Games_Store_besplatno_razdayut_The_Messenger.html,https://en.wikipedia.org/wiki/The_Messenger,,,,,,,,,,,,,,"Messenger, Messengers, The Messenger or The Messengers may refer to:",
21-29 November 2019,Bad North,2019,https://www.igromania.ru/news/88327/V_Epic_Games_Store_gotovyatsya_besplatno_razdavat_Rayman_Legends.html,https://en.wikipedia.org/wiki/Bad_North,Plausible Concept,Raw Fury,"August 20, 2018, SwitchWW: August 20, 2018PS4, Xbox OneWW: August 28, 2018WindowsWW: October 16, 2018Android, iOSWW: October 16, 2019",Real-time strategy,,,,,,,,,Single-player,"Bad North is a real-time strategy video game developed by Plausible Concept (a game studio in Malmö, Sweden, founded by Oskar Stålberg and Richard Meredith) and published by Raw Fury. The game was released on August 20, 2018, for the Nintendo Switch, then for PlayStation 4 and Xbox One on August 28. A Microsoft Windows version was released on October 16, 2018. Versions for Android and iOS followed on October 16, 2019.",
29 November - 6 December 2019,Rayman Legends,2019,https://www.igromania.ru/news/88555/V_Epic_Games_Store_v_techenie_nedeli_besplatno_razdayut_Rayman_Legends.html,https://en.wikipedia.org/wiki/Rayman_Legends,Ubisoft Montpellier,Ubisoft,"Microsoft Windows, PlayStation 3, Wii U, Xbox 360AU: 29 August 2013EU: 30 August 2013NA: 3 September 2013, PlayStation VitaNA: 3 September 2013AU: 12 September 2013EU: 13 September 2013, PlayStation 4, Xbox OneNA: 18 February 2014EU: 21 February 2014, Nintendo SwitchNA: 12 September 2017EU: 12 September 2017, StadiaWW: 23 November 2021",Platform,UbiArt Framework,Michel Ancel,Jean-Christophe Alessandri,,,Emile Morel,,Guillaume Gernez,,"Rayman Legends is a 2013 platform game developed by Ubisoft Montpellier and published by Ubisoft. It is the fifth main title in the Rayman series and the direct sequel to the 2011 game Rayman Origins. The game was released for Microsoft Windows, PlayStation 3, Xbox 360, Wii U, and PlayStation Vita platforms in August and September 2013. PlayStation 4 and Xbox One versions were released in February 2014, with a Stadia version released in November 2021. A Nintendo Switch port, titled Rayman Legends Definitive Edition, was released in North America, Europe and Australia on September 12, 2017.","Rayman Legends was announced at Electronic Entertainment Expo (E3) 2012 for Wii U and was planned for release during the console's launch window. However, the game was delayed to February 2013 in order to put the finishing touches to the game, and due to the financial failure of ZombiU, the release was delayed again by six months and the game was made multi-platform.

Rayman Legends received critical acclaim upon release. Critics praised the game's visuals, level design, controls, soundtrack, overall gameplay, and the large amount of content. The game experienced slow sales on release, but sold over a million copies by 2014."
5-12 December 2019,Jotun: Valhalla Edition,2019,https://www.igromania.ru/news/88712/V_techenie_nedeli_v_Epic_Games_Store_besplatno_razdayut_skandinavskuyu_Jotun.html,https://en.wikipedia.org/wiki/Jotun%3A_Valhalla_Edition,Thunder Lotus Games,Thunder Lotus Games,"Windows, OS X, LinuxSeptember 29, 2015Wii USeptember 8, 2016PlayStation 4, Xbox OneSeptember 9, 2016Nintendo SwitchApril 27, 2018StadiaMay 26, 2020",,Unity,,,Maxime Lacoste-Lebuis,,,,,Single-player,"Jøtun is an action-adventure video game developed by Thunder Lotus Games. It was released for Windows, OS X, and Linux on September 29, 2015. The Wii U version was released on September 8, 2016, while the PlayStation 4 and Xbox One versions were released on September 9, 2016. The Nintendo Switch version was released on April 27, 2018. The Stadia version was released on May 26, 2020.",
12-19 December 2019,The Wolf Among Us,2019,https://dtf.ru/sale/87052-v-epic-games-store-nachalas-razdacha-the-wolf-among-us-pered-novym-godom-magazin-otdast-besplatno-eshche-12-igr,https://en.wikipedia.org/wiki/The_Wolf_Among_Us,Telltale Games,Telltale Games,"October 14, 2013, Episode 1, WW: October 11, 2013WW: October 14, 2013 (OS X)NA: October 15, 2013 (PS3)EU: October 16, 2013 (PS3)AU: October 16, 2013 (PS3)WW: December 4, 2013 (iOS), , , Episode 2, WW: February 4, 2014NA: February 4, 2014 (PS3)EU: February 5, 2014 (PS3)WW: February 5, 2014 (X360), , , Episode 3, WW: April 8, 2014NA: April 8, 2014 (PS3)EU: April 9, 2014 (PS3)WW: April 9, 2014 (X360)WW: April 10, 2014 (iOS), , , Episode 4, WW: May 27, 2014NA: May 27, 2014 (PS3)WW: May 28, 2014 (X360)WW: May 29, 2014 (IOS)EU: June 4, 2014 (PS3), , , Episode 5, WW: July 8, 2014NA: July 8, 2014 (PS3)EU: July 9, 2014 (PS3)WW: July 9, 2014 (X360)WW: July 10, 2014 (iOS), , , Retail version, NA: November 4, 2014EU: November 7, 2014",,Telltale Tool,,David Bogan,Jared Emerson-Johnson,,,,,Single-player,"The Wolf Among Us is an episodic adventure game developed and published by Telltale Games. It is based on Bill Willingham's Fables comic book series, to which it serves as a prequel. The game consists of five episodes that were released throughout 2013 and 2014. Retail versions for the PlayStation 3, PlayStation 4, PlayStation Vita, Xbox 360, and Xbox One consoles were made available in November 2014. The game is set in Fabletown, a clandestine community within New York City consisting of fantastical characters from fairy tales, novels, and folklore, where sheriff Bigby Wolf must investigate a series of mysterious murders.","The Wolf Among Us received mostly positive reviews for its writing, atmosphere, and characterization, though it was criticized for technical issues and some aspects of the gameplay.

In July 2017, Telltale announced that a second season of The Wolf Among Us was scheduled for release in 2018, but Telltale eventually had to shut down for ""insurmountable challenges"" in 2018, with its assets being acquired by LCG Entertainment. One of the first original games from this new company, doing business as Telltale Games, will be a sequel to The Wolf Among Us, titled The Wolf Among Us 2, which was announced in December 2019."
19 December 2019,Into the Breach,2019,https://dtf.ru/sale/88300-v-epic-games-store-startovala-prazdnichnaya-rasprodazha-i-razdacha-into-the-breach,https://en.wikipedia.org/wiki/Into_the_Breach,Subset Games,,"Microsoft WindowsFebruary 27, 2018macOSAugust 9, 2018Nintendo SwitchAugust 28, 2018LinuxApril 20, 2020StadiaDecember 1, 2020iOS, AndroidJuly 19, 2022",Turn-based strategy,,,,Ben Prunty,,,Chris Avellone,,Single-player,"Into the Breach is a turn-based strategy video game developed and published by indie studio Subset Games, consisting of Jay Ma and Matthew Davis. Into the Breach is their second game, following FTL: Faster Than Light. It features writing by Chris Avellone and music composed by Ben Prunty. It was released for Microsoft Windows in February 2018, for macOS and Nintendo Switch in August 2018, and for Linux in April 2020. A version for iOS and Android mobile devices was published by Netflix in July 2022.",
20 December 2019,TowerFall Ascension,2019,https://dtf.ru/sale/88513-v-epic-games-store-nachalas-razdacha-towerfall-ascension-ot-sozdatelya-celeste,https://en.wikipedia.org/wiki/TowerFall_Ascension,Maddy Makes Games,Maddy Makes Games,"June 25, 2013 (2013-06-25),  Android,  June 25, 2013 (2013-06-25),  PlayStation 4, Windows,  March 11, 2014 (2014-03-11),  Linux, OS X,  May 29, 2014 (2014-05-29),  PlayStation Vita,  December 15, 2015 (2015-12-15),  Xbox One,  January 25, 2017 (2017-01-25),  Nintendo Switch,  September 27, 2018 (2018-09-27)",Action,Microsoft XNA,Maddy Thorson,,Alec Holowka,,Maddy Thorson,,Maddy Thorson,,,
21 December 2019,Superhot,2019,https://dtf.ru/sale/88677-v-epic-games-store-startovala-razdacha-superhot,https://en.wikipedia.org/wiki/Superhot,Superhot Team,Superhot Team,"Windows, OS X, Linux25 February 20165 December 2016 (VR)Xbox One3 May 2016PlayStation 421 July 2017Oculus Quest30 April 2019Nintendo Switch19 August 2019Stadia1 June 2020",First-person shooter,Unity,Piotr Iwanicki,,Karl Flodin,,,Cezary Skorupka,,Single-player,"Superhot is an independent first-person shooter video game developed and published by Superhot Team. Though the game follows traditional first-person shooter gameplay mechanics, with the player attempting to take out enemy targets using guns and other weapons, time within the game progresses at normal speed only when the player moves; this creates the opportunity for the player to assess their situation in slow motion and respond appropriately, making the gameplay similar to strategy video games. The game is presented in a minimalist art style, with enemies in red and weapons in black, in contrast to the otherwise white and grey environment.","The game originated as an entry in the 2013 7 Day FPS Challenge, which Superhot Team expanded into a browser-based demonstration that September. Widespread attention from the demonstration prompted the team to develop the full game, using Kickstarter to secure funding to complete the title. Superhot was released for Microsoft Windows, OS X, and Linux in February 2016. Versions for the Xbox One, PlayStation 4, and Nintendo Switch were released in May 2016, July 2017, and August 2019, respectively. A rebuilt version of the game to better support virtual reality, Superhot VR, was released for the Oculus Rift, HTC Vive, and PlayStation VR headset devices. A sequel, Superhot: Mind Control Delete, which utilizes roguelike elements such as procedural generation and permadeath, was released in 2020.

The game was met with positive reception, with reviewers considering the title to be an innovative take on the first-person shooter genre."
22 December 2019,Little Inferno,2019,https://dtf.ru/sale/88849-v-epic-games-store-nachalas-razdacha-golovolomki-little-inferno-ot-avtorov-world-of-goo,https://en.wikipedia.org/wiki/Little_Inferno,Tomorrow Corporation,,"Wii UNA: November 18, 2012PAL: November 30, 2012WindowsNovember 19, 2012iOSNA: January 31, 2013EU: March 28, 2013OS XApril 10, 2013LinuxJune 5, 2013AndroidDecember 3, 2013SwitchNA: March 16, 2017PAL: March 23, 2017",Puzzle,,,,Kyle Gabler,,,Kyle Gray,Allan Blomquist,Single-player,"Little Inferno is a puzzle video game developed and published by American independent game developer Tomorrow Corporation. The game was released for the Wii U in November 2012 in North America, Europe and Australasia. Microsoft Windows, iOS, OS X, Linux and Android versions followed throughout 2013. A Nintendo Switch version was released in March 2017 in North America, Europe and Australia.","Little Inferno is set in front of a brick fireplace, which the player uses to set various objects, such as toys, dolls, and electronics, on fire. The game encourages the player to burn any combination of objects to see how they react when lit ablaze, as most of the objects have unique properties. Little Inferno is classified as a sandbox game as it offers few traditional objectives to complete and has no states of failure. The game was designed as a satire of similarly themed video games in which the player dedicates long amounts of time to performing tasks considered to be unrewarding.

Little Inferno garnered widely varied reactions upon its release. Some reviewers praised the unique gameplay concepts and satirical narrative, while others believed the gameplay was too simplistic."
