title,from_date,giveaway_year,is_repeat,is_standalone_game,egs_meets_threshold,egs_original_price_usd,egs_publisher,egs_tags,mc_criticScore,hltb_main_story
Eastern Exorcist,2025-09-25,2025,True,True,True,17.99,Thermite Games,"Diverse Characters, RELAXING, Windows, Controller Support, Recommend this Game, Amazing Characters, Amazing Storytelling, Extremely Fun, RPG, Action-Adventure, Single Player, Inclusive Character Customization, Quickly Understand the Controls, Great for Beginners",73.0,5.01
Eastern Exorcist,2025-09-25,2025,False,True,True,17.99,Thermite Games,"Diverse Characters, RELAXING, Windows, Controller Support, Recommend this Game, Amazing Characters, Amazing Storytelling, Extremely Fun, RPG, Action-Adventure, Single Player, Inclusive Character Customization, Quickly Understand the Controls, Great for Beginners",73.0,5.01
Jorel’s Brother and The Most Important Game of the Galaxy,2025-09-25,2025,False,True,True,14.99,Double Dash Studios,"Cloud Saves, Achievements, Single Player, Windows, Adventure, Controller Support, Indie",,
Road Redemption Mobile - Full Game,2025-09-18,2025,False,False,False,,,,70.0,
Samorost 2,2025-09-18,2025,False,True,True,4.99,Amanita Design s.r.o.,"Puzzle, Cloud Saves, Achievements, Single Player, Windows, Adventure, Indie",,1.05
Project Winter,2025-09-18,2025,False,True,True,9.99,Other Ocean Interactive,"Online Multiplayer, Diverse Characters, RELAXING, Windows, Controller Support, Indie, Casual, Recommend this Game, Amazing Characters, Amazing Storytelling, Extremely Fun, Action-Adventure, Cross Platform, Quickly Understand the Controls, Great for Beginners",75.0,9.82
Samorost 2,2025-09-18,2025,False,True,True,4.99,Amanita Design s.r.o.,"Puzzle, Cloud Saves, Achievements, Single Player, Windows, Adventure, Indie",,1.05
Monument Valley 2,2025-09-11,2025,False,True,True,7.99,ustwo games,"Casual, Puzzle, Achievements, Single Player, Windows, Adventure",83.0,1.55
The Battle of Polytopia,2025-09-11,2025,False,True,True,14.99,Midjiwan AB,"Turn-Based Strategy, Online Multiplayer, Diverse Characters, RELAXING, Competitive Community, Turn-Based, Windows, Recommend this Game, Competitive, Amazing Characters, Amazing Storytelling, Extremely Fun, Cross Platform, Single Player, Strategy, Quickly Understand the Controls, Local Multiplayer, Mac OS, Great for Beginners",72.0,1.33
Ghostrunner 2,2025-09-11,2025,True,True,True,39.99,505 Games,"Action, Diverse Characters, Recommend this Game, Amazing Characters, Amazing Storytelling, Great Boss Battles, Extremely Fun, Challenging Combat, Single Player, Windows, Adventure, Quickly Understand the Controls",80.0,8.4
Monument Valley 2,2025-09-11,2025,False,True,True,7.99,ustwo games,"Casual, Puzzle, Achievements, Single Player, Windows, Adventure",83.0,1.55
The Battle of Polytopia,2025-09-11,2025,False,True,True,14.99,Midjiwan AB,"Turn-Based Strategy, Online Multiplayer, Diverse Characters, RELAXING, Competitive Community, Turn-Based, Windows, Recommend this Game, Competitive, Amazing Characters, Amazing Storytelling, Extremely Fun, Cross Platform, Single Player, Strategy, Quickly Understand the Controls, Local Multiplayer, Mac OS, Great for Beginners",72.0,1.33
Monument Valley,2025-09-04,2025,False,True,True,7.99,ustwo games,"Casual, Puzzle, Single Player, Windows, Adventure",89.0,1.46
Monument Valley,2025-09-04,2025,False,True,True,7.99,ustwo games,"Casual, Puzzle, Single Player, Windows, Adventure",89.0,1.46
